DATE_OF_INTEREST,Cases,Hospitalizations,Deaths
02/29/2020,1,0,0
03/03/2020,0,0,0
03/04/2020,2,1,0
03/05/2020,0,3,0
03/06/2020,3,1,0
03/07/2020,1,1,0
03/08/2020,6,1,0
03/09/2020,24,7,0
03/10/2020,24,12,0
03/11/2020,62,16,0
03/12/2020,137,12,0
03/13/2020,182,30,0
03/14/2020,176,28,0
03/15/2020,206,32,2
03/16/2020,457,43,0
03/17/2020,567,67,0
03/18/2020,538,82,4
03/19/2020,556,96,4
03/20/2020,653,116,11
03/21/2020,400,119,5
03/22/2020,317,133,8
03/23/2020,532,189,7
03/24/2020,620,208,17
03/25/2020,590,204,20
03/26/2020,628,233,33
03/27/2020,656,218,42
03/28/2020,388,204,28
03/29/2020,407,165,35
03/30/2020,806,278,34
03/31/2020,617,238,43
04/01/2020,573,210,59
04/02/2020,652,246,62
04/03/2020,672,266,51
04/04/2020,384,211,64
04/05/2020,358,195,86
04/06/2020,722,266,69
04/07/2020,605,202,92
04/08/2020,547,185,66
04/09/2020,559,204,65
04/10/2020,497,203,69
04/11/2020,303,136,59
04/12/2020,252,142,62
04/13/2020,393,195,71
04/14/2020,441,173,59
04/15/2020,429,154,55
04/16/2020,356,120,56
04/17/2020,330,119,41
04/18/2020,187,95,57
04/19/2020,177,76,48
04/20/2020,381,91,49
04/21/2020,373,100,47
04/22/2020,383,107,37
04/23/2020,401,67,47
04/24/2020,408,84,47
04/25/2020,147,47,41
04/26/2020,98,48,34
04/27/2020,303,62,30
04/28/2020,322,65,35
04/29/2020,287,44,33
04/30/2020,217,37,35
05/01/2020,243,39,24
05/02/2020,138,20,23
05/03/2020,103,35,35
05/04/2020,214,38,19
05/05/2020,244,31,18
05/06/2020,165,26,17
05/07/2020,118,21,23
05/08/2020,99,23,13
05/09/2020,75,17,14
05/10/2020,95,22,19
05/11/2020,193,24,14
05/12/2020,163,22,14
05/13/2020,157,21,8
05/14/2020,148,22,16
05/15/2020,135,23,11
05/16/2020,52,11,10
05/17/2020,50,8,11
05/18/2020,131,21,9
05/19/2020,167,23,10
05/20/2020,165,12,12
05/21/2020,146,9,6
05/22/2020,152,15,5
05/23/2020,49,7,7
05/24/2020,69,19,6
05/25/2020,70,17,12
05/26/2020,126,10,6
05/27/2020,108,14,9
05/28/2020,99,10,3
05/29/2020,73,12,5
05/30/2020,38,7,12
05/31/2020,25,9,4
06/01/2020,77,12,3
06/02/2020,71,11,8
06/03/2020,78,13,7
06/04/2020,88,10,8
06/05/2020,53,11,7
06/06/2020,32,5,2
06/07/2020,25,9,1
06/08/2020,75,9,2
06/09/2020,67,9,9
06/10/2020,69,13,1
06/11/2020,54,10,2
06/12/2020,58,8,3
06/13/2020,24,5,3
06/14/2020,28,6,2
06/15/2020,59,4,3
06/16/2020,67,7,3
06/17/2020,65,8,3
06/18/2020,58,6,4
06/19/2020,56,6,4
06/20/2020,44,5,2
06/21/2020,26,6,4
06/22/2020,62,7,4
06/23/2020,77,5,5
06/24/2020,73,7,3
06/25/2020,46,6,4
06/26/2020,63,4,6
06/27/2020,37,6,2
06/28/2020,41,3,7
06/29/2020,80,3,2
06/30/2020,94,9,4
07/01/2020,83,8,2
07/02/2020,81,6,9
07/03/2020,49,7,2
07/04/2020,32,9,2
07/05/2020,32,6,3
07/06/2020,78,6,4
07/07/2020,87,9,2
07/08/2020,120,7,3
07/09/2020,86,7,2
07/10/2020,49,1,1
07/11/2020,46,5,4
07/12/2020,42,3,0
07/13/2020,79,7,5
07/14/2020,80,7,2
07/15/2020,70,4,1
07/16/2020,89,6,2
07/17/2020,110,9,3
07/18/2020,37,6,2
07/19/2020,34,2,3
07/20/2020,80,4,2
07/21/2020,68,2,0
07/22/2020,59,4,0
07/23/2020,65,12,0
07/24/2020,56,5,0
07/25/2020,34,3,1
07/26/2020,18,6,0
07/27/2020,73,6,1
07/28/2020,58,2,2
07/29/2020,56,6,1
07/30/2020,44,3,1
07/31/2020,52,9,1
08/01/2020,33,5,1
08/02/2020,25,4,0
08/03/2020,56,6,1
08/04/2020,38,5,1
08/05/2020,47,2,3
08/06/2020,55,5,1
08/07/2020,50,4,0
08/08/2020,23,1,4
08/09/2020,18,4,0
08/10/2020,49,4,1
08/11/2020,42,1,2
08/12/2020,42,7,0
08/13/2020,51,7,0
08/14/2020,44,5,1
08/15/2020,25,1,2
08/16/2020,22,1,0
08/17/2020,55,4,1
08/18/2020,62,2,0
08/19/2020,52,9,0
08/20/2020,33,4,0
08/21/2020,51,5,0
08/22/2020,30,6,1
08/23/2020,16,3,1
08/24/2020,50,7,1
08/25/2020,54,6,0
08/26/2020,51,2,1
08/27/2020,48,2,0
08/28/2020,51,2,1
08/29/2020,23,0,0
08/30/2020,36,3,0
08/31/2020,51,5,0
09/01/2020,55,2,1
09/02/2020,48,1,1
09/03/2020,35,1,1
09/04/2020,30,2,1
09/05/2020,22,1,0
09/06/2020,27,1,1
09/07/2020,41,4,1
09/08/2020,58,1,0
09/09/2020,69,3,0
09/10/2020,57,2,0
09/11/2020,54,6,0
09/12/2020,36,3,0
09/13/2020,41,1,0
09/14/2020,68,4,0
09/15/2020,45,5,0
09/16/2020,54,3,1
09/17/2020,53,5,1
09/18/2020,42,5,0
09/19/2020,26,6,1
09/20/2020,25,4,1
09/21/2020,57,1,1
09/22/2020,50,1,0
09/23/2020,73,1,1
09/24/2020,58,4,1
09/25/2020,67,6,1
09/26/2020,35,4,0
09/27/2020,35,1,0
09/28/2020,57,3,0
09/29/2020,81,8,0
09/30/2020,86,8,1
10/01/2020,87,4,0
10/02/2020,75,5,0
10/03/2020,46,4,0
10/04/2020,29,4,0
10/05/2020,83,1,0
10/06/2020,76,9,0
10/07/2020,73,5,1
10/08/2020,79,6,0
10/09/2020,70,2,0
10/10/2020,44,4,0
10/11/2020,28,5,2
10/12/2020,70,6,4
10/13/2020,75,3,0
10/14/2020,70,5,0
10/15/2020,82,4,2
10/16/2020,88,3,1
10/17/2020,60,4,0
10/18/2020,35,3,0
10/19/2020,97,8,0
10/20/2020,100,7,0
10/21/2020,111,5,1
10/22/2020,130,7,0
10/23/2020,67,2,1
10/24/2020,45,6,0
10/25/2020,41,1,1
10/26/2020,61,1,1
10/27/2020,25,0,1
10/28/2020,1,0,0
